elapsed_sec,blocks,rss_kb,fd_count,cpu_pct,peers_alive,mempoool,api_ok
0,2,15372,12,22.2,0,0,1
31,5,15484,12,9.7,0,0,1
61,8,20156,17,6.3,0,0,1
91,11,20472,17,4.6,0,0,1
121,14,20936,22,3.7,0,0,1
151,17,21008,22,3.1,0,0,1
182,20,21396,27,2.6,0,0,1
212,23,21608,27,2.3,0,0,1
242,26,22140,32,2.1,0,0,1
272,29,22260,32,1.9,0,0,1
303,32,22712,37,1.7,0,0,1
333,35,22864,37,1.6,0,0,1
363,38,23472,42,1.5,0,0,1
393,41,23600,42,1.4,0,0,1
424,44,24196,47,1.3,0,0,1
454,47,24328,47,1.3,0,0,1
484,50,24920,52,1.2,0,0,1
514,53,24996,52,1.2,0,0,1
545,56,25540,57,1.1,0,0,1
575,59,25600,57,1.1,0,0,1
605,62,26200,62,1.0,0,0,1
635,65,26240,62,1.0,0,0,1
666,68,26760,67,1.0,0,0,1
696,71,26876,67,1.0,0,0,1
726,74,27696,72,0.9,0,0,1
756,77,27736,72,0.9,0,0,1
787,80,28248,77,0.9,0,0,1
817,83,28316,77,0.9,0,0,1
847,86,29224,82,0.9,0,0,1
878,90,29300,82,0.9,0,0,1
908,93,29836,87,0.8,0,0,1
938,96,29860,87,0.8,0,0,1
968,99,30552,92,0.8,0,0,1
999,102,30588,92,0.8,0,0,1
1029,105,31252,97,0.8,0,0,1
1059,108,31288,97,0.8,0,0,1
1089,111,31464,102,0.8,0,0,1
1120,114,31524,102,0.8,0,0,1
1150,117,32112,107,0.8,0,0,1
1180,120,32124,107,0.8,0,0,1
1211,123,32632,112,0.8,0,0,1
1241,126,32720,112,0.8,0,0,1
1271,129,33216,117,0.8,0,0,1
1301,132,33216,117,0.8,0,0,1
1332,135,34184,122,0.8,0,0,1
1362,138,34192,122,0.8,0,0,1
1392,141,34924,127,0.8,0,0,1
1422,144,35164,127,0.8,0,0,1
1453,147,35468,132,0.8,0,0,1
1483,150,35844,132,0.8,0,0,1
1513,153,36544,137,0.8,0,0,1
1543,156,36548,137,0.8,0,0,1
1574,159,36964,141,0.8,0,0,1
1604,162,36968,141,0.8,0,0,1
1634,165,37936,146,0.8,0,0,1
1665,168,37936,146,0.8,0,0,1
1695,171,38372,151,0.8,0,0,1
1725,174,42368,151,0.8,0,0,1
1756,177,42956,156,0.8,0,0,1
1786,180,43136,156,0.8,0,0,1
